question,intent
컴퓨터실 아침에 하나요?,운영시간
컴퓨터존 아침에 가면 못 들어가나요?,운영시간
컴퓨터존 방학 때 하나요?,운영시간
주말에 컴퓨터실 가도 돼요?,운영시간
미디어실 하나요? 얼마나,운영시간
컴퓨터존 평일에 가도 돼요?,운영시간
학교 하나요? 아침에,운영시간
도서실 오늘 하나요?,운영시간
오늘 컴퓨터실 가도 돼요?,운영시간
pc존 새벽에 하나요?,운영시간
미디어실 언제 하나요?,운영시간
컴퓨터존 학기 중에 하나요?,운영시간
도서관 오늘 하나요?,운영시간
도서관 운영 시간 되나요?,운영시간
멀티미디어실 평일에 하나요?,운영시간
일반도서실 지금 들어갈 수 있나요,운영시간
때 방학 도서관 하나요?,운영시간
방학 때 스터디룸 가도 돼요?,운영시간
학기 돼요? 도서관 가도 중에,운영시간
시까지 몇 멀티미디어실 하나요?,운영시간
오늘 컴퓨터존 가도 돼요?,운영시간
도서관 못 들어가나요?,운영시간
학교 내일 하나요?,운영시간
지금 학교 가도 돼요?,운영시간
새벽에 일반도서실 가도 돼요?,운영시간
컴퓨터실 하나요? 평일에,운영시간
돼요? 일반도서실 가도 평일에,운영시간
방학 돼요? 멀티미디어실 가도 때,운영시간
도서관 하나요? 지금,운영시간
열람실 아침에 하나요?,운영시간
컴퓨터실 낮에 하나요?,운영시간
학기 중에 컴퓨터실 가도 돼요?,운영시간
도서실 언제까지 하나요?,운영시간
낮에 컴퓨터존 가도 돼요?,운영시간
미디어실 방학 때 하나요?,운영시간
아침에 스터디룸 가도 돼요?,운영시간
낮에 컴퓨터실 돼요? 가도,운영시간
내일 학교 가도 돼요?,운영시간
하나요? 밤에 스터디룸,운영시간
스터디룸 평일에 하나요?,운영시간
pc존 언제까지 하나요?,운영시간
스터디룸 언제 하나요?,운영시간
pc존 주말에 가도 돼요?,운영시간
아침에 열람실 가도 돼요?,운영시간
스터디룸 중에 하나요?,운영시간
스터디룸 아침에,운영시간
멀티미디어실 가도 돼요?,운영시간
pc존 지금 들어갈 수 있나요,운영시간
밤에 열람실 가도 돼요?,운영시간
하나요? 언제 멀티미디어실,운영시간
미디어실 운영 시간 어떻게 되나요?,운영시간
학교 새벽에 하나요?,운영시간
컴퓨터존 밤에 하나요?,운영시간
도서실 얼마나 하나요?,운영시간
컴퓨터존 주말에 하나요?,운영시간
스터디룸 새벽에 하나요?,운영시간
주말에 스터디룸 가도 돼요?,운영시간
일반도서실 운영 시간 어떻게 되나요?,운영시간
방학 때 일반도서실 가도 돼요?,운영시간
학기 중에 pc존 돼요? 가도,운영시간
학교 시간 운영 어떻게 되나요?,운영시간
수 지금 들어갈 미디어실 있나요,운영시간
열람실 몇 시까지 하나요?,운영시간
도서관 아침에 하나요?,운영시간
지금 pc존 가도 돼요?,운영시간
pc존 하나요?,운영시간
시간 하나요?,운영시간
새벽에 미디어실 가도,운영시간
열람실 시까지 몇 하나요?,운영시간
아침에 멀티미디어실 하나요?,운영시간
멀티미디어실 방학 때 하나요?,운영시간
컴퓨터존 언제까지 하나요?,운영시간
낮에 돼요?,운영시간
미디어실 평일에 하나요?,운영시간
멀티미디어실 평일에 하나요?,운영시간
새벽에 돼요? 가도 도서관,운영시간
열람실 언제 하나요?,운영시간
컴퓨터존 방학 때 하나요?,운영시간
컴퓨터실 몇 시까지 하나요?,운영시간
미디어실 지금 들어갈 수,운영시간
컴퓨터존 방학 하나요? 때,운영시간
못 아침에 가면 도서관 들어가나요?,운영시간
시까지 몇 열람실 하나요?,운영시간
컴퓨터존 아침에 하나요?,운영시간
도서실 지금 들어갈 수 있나요,운영시간
학기 돼요? 멀티미디어실 가도 중에,운영시간
스터디룸 얼마나 하나요?,운영시간
낮에 가도 돼요?,운영시간
일반도서실 아침에 하나요?,운영시간
오늘 일반도서실 가도 돼요?,운영시간
