question,intent
도서관 지금 들어갈 수 있나요,운영시간
도서관 언제까지 하나요?,운영시간
도서관 오늘 하나요?,운영시간
도서관 운영 시간 어떻게 되나요?,운영시간
오늘 도서관 가도 돼요?,운영시간
도서관 아침에 가면 못 들어가나요?,운영시간
책 검색 좀 할게요,도서검색
책 찾아주세요,도서검색
책 어딨어요?,도서검색
도서관에 수업 교재 있나요?,도서검색
책 빌릴 수 있는지 궁금해요,도서검색
책이 없어요,도서검색
열람실 자리 남았나요?,자리현황
열람실 자리 몇 개 남았나요?,자리현황
열람실 가면 앉을 자리 남았나요?,자리현황
열람실 가면 앉을 수 있나요?,자리현황
열람실에 사람 몇 명 남았나요?,자리현황
열람실에 사람 많나요?,자리현황
공지사항 찾아주세요,공지검색
요즘 공지사항 뭐 있어요?,공지검색
공지사항 올라온 거 있어요?,공지검색
공지사항 올라온 거 뭐예요?,공지검색
도서실 지금 들어갈 수 있나요,운영시간
미디어실 지금 들어갈 수 있나요,운영시간
일반도서실 지금 들어갈 수 있나요,운영시간
멀티미디어실 지금 들어갈 수 있나요,운영시간
열람실 지금 들어갈 수 있나요,운영시간
학교 지금 들어갈 수 있나요,운영시간
도서실 언제까지 하나요?,운영시간
미디어실 언제까지 하나요?,운영시간
일반도서실 언제까지 하나요?,운영시간
멀티미디어실 언제까지 하나요?,운영시간
열람실 언제까지 하나요?,운영시간
학교 언제까지 하나요?,운영시간
도서관 얼마나 하나요?,운영시간
도서관 몇 시간 하나요?,운영시간
도서관 몇 시까지 하나요?,운영시간
도서관 언제 하나요?,운영시간
도서실 오늘 하나요?,운영시간
미디어실 오늘 하나요?,운영시간
일반도서실 오늘 하나요?,운영시간
멀티미디어실 오늘 하나요?,운영시간
열람실 오늘 하나요?,운영시간
학교 오늘 하나요?,운영시간
도서관 내일 하나요?,운영시간
도서관 주말에 하나요?,운영시간
도서관 평일에 하나요?,운영시간
도서관 학기 중에 하나요?,운영시간
도서관 방학 때 하나요?,운영시간
도서관 밤에 하나요?,운영시간
도서관 낮에 하나요?,운영시간
도서관 아침에 하나요?,운영시간
도서관 새벽에 하나요?,운영시간
도서관 지금 하나요?,운영시간
도서실 운영 시간 어떻게 되나요?,운영시간
미디어실 운영 시간 어떻게 되나요?,운영시간
일반도서실 운영 시간 어떻게 되나요?,운영시간
멀티미디어실 운영 시간 어떻게 되나요?,운영시간
열람실 운영 시간 어떻게 되나요?,운영시간
